" Deformable DETR: Deformable Transformers for End-to-End Object Detection
",https://arxiv.org/abs/2010.04159,"Xizhou Zhu, Weijie Su, Lewei Lu, Bin Li, Xiaogang Wang, Jifeng Dai"
" Online and Distribution-Free Robustness: Regression and Contextual  Bandits with Huber Contamination
",https://arxiv.org/abs/2010.04157,"Sitan Chen, Frederic Koehler, Ankur Moitra, Morris Yau"
" Automatic generation of reviews of scientific papers
",https://arxiv.org/abs/2010.04147,"Anna Nikiforovskaya, Nikolai Kapralov, Anna Vlasova, Oleg Shpynov, Aleksei Shpilman"
" A Survey On Anti-Spoofing Methods For Face Recognition with RGB Cameras  of Generic Consumer Devices
",https://arxiv.org/abs/2010.04145,"Zuheng Ming, Muriel Visani, Muhammad Muzzamil Luqman, Jean-Christophe Burie"
" Deep SVBRDF Estimation on Real Materials
",https://arxiv.org/abs/2010.04143,"Louis-Philippe Asselin, Denis Laurendeau, Jean-François Lalonde"
" DART: A Lightweight Quality-Suggestive Data-to-Text Annotation Tool
",https://arxiv.org/abs/2010.04141,"Ernie Chang, Jeriah Caplinger, Alex Marin, Xiaoyu Shen, Vera Demberg"
" Convergence of the Finite Volume Method on Unstructured Meshes for a 3D  Phase Field Model of Solidification
",https://arxiv.org/abs/2010.04132,"Aleš Wodecki, Pavel Strachota, Michal Beneš"
" Testing Differential Privacy with Dual Interpreters
",https://arxiv.org/abs/2010.04126,"Hengchu Zhang, Edo Roth, Andreas Haeberlen, Benjamin C. Pierce, Aaron Roth"
" Towards Topic-Guided Conversational Recommender System
",https://arxiv.org/abs/2010.04125,"Kun Zhou, Yuanhang Zhou, Wayne Xin Zhao, Xiaoke Wang, Ji-Rong Wen"
" Extending the Hint Factory for the assistance dilemma: A novel,  data-driven HelpNeed Predictor for proactive problem-solving help
",https://arxiv.org/abs/2010.04124,"Mehak Maniktala, Christa Cody, Amy Isvik, Nicholas Lytle, Min Chi, Tiffany Barnes"
" Leakage-Adjusted Simulatability: Can Models Generate Non-Trivial  Explanations of Their Behavior in Natural Language?
",https://arxiv.org/abs/2010.04119,"Peter Hase, Shiyue Zhang, Harry Xie, Mohit Bansal"
" Interlocking Backpropagation: Improving depthwise model-parallelism
",https://arxiv.org/abs/2010.04116,"Aidan N. Gomez, Oscar Key, Stephen Gou, Nick Frosst, Jeff Dean, Yarin Gal"
" Information-Driven Adaptive Sensing Based on Deep Reinforcement Learning
",https://arxiv.org/abs/2010.04112,"Abdulmajid Murad, Frank Alexander Kraemer, Kerstin Bach, Gavin Taylor"
" Set Prediction without Imposing Structure as Conditional Density  Estimation
",https://arxiv.org/abs/2010.04109,"David W. Zhang, Gertjan J. Burghouts, Cees G.M. Snoek"
" Succinct Permutation Graphs
",https://arxiv.org/abs/2010.04108,"Konstantinos Tsakalidis, Sebastian Wild, Viktor Zamaraev"
" Deploying a Task-based Runtime System on Raspberry Pi Clusters
",https://arxiv.org/abs/2010.04106,"Nikunj Gupta, Steve R. Brandt, Bibek Wagle, Nanmiao, Alireza Kheirkhahan, Patrick Diehl, Hartmut Kaiser, Felix W. Baumann"
" Learning the Pareto Front with Hypernetworks
",https://arxiv.org/abs/2010.04104,"Aviv Navon, Aviv Shamsian, Gal Chechik, Ethan Fetaya"
" Human-Drone Interactions with Semi-Autonomous Cohorts of Collaborating  Drones
",https://arxiv.org/abs/2010.04101,"Jane Cleland-Huang, Ankit Agrawal"
" On Performance Characterization of Cascaded Multiwire-PLC/MIMO-RF  Communication System
",https://arxiv.org/abs/2010.04099,"Yun Ai, Long Kong, Michael Cheffena, Symeon Chatzinotas, Bjorn Ottersten"
" BERTering RAMS: What and How Much does BERT Already Know About Event  Arguments? -- A Study on the RAMS Dataset
",https://arxiv.org/abs/2010.04098,"Varun Gangal, Eduard Hovy"
" Did You Get The Gist Of It? Understanding How Visualization Impacts  Decision-Making
",https://arxiv.org/abs/2010.04096,"Melanie Bancilhon, Alvitta Ottley"
" Improved Techniques for Model Inversion Attack
",https://arxiv.org/abs/2010.04092,"Si Chen, Ruoxi Jia, Guo-Jun Qi"
" Reward-Biased Maximum Likelihood Estimation for Linear Stochastic  Bandits
",https://arxiv.org/abs/2010.04091,"Yu-Heng Hung, Ping-Chun Hsieh, Xi Liu, P. R. Kumar"
" Estimating load points of a motor-pump system using pressure and  inverter drive data
",https://arxiv.org/abs/2010.04090,"Yashar Kouhi, Jens Müller, Sebastian Leonow, Martin Mönnigmann"
" EDNA-COVID: A Large-Scale Covid-19 Dataset Collected with the EDNA  Streaming Toolkit
",https://arxiv.org/abs/2010.04084,"Abhijit Suprem, Calton Pu"
" SWIFT: Scalable Wasserstein Factorization for Sparse Nonnegative Tensors
",https://arxiv.org/abs/2010.04081,"Ardavan Afshar, Kejing Yin, Sherry Yan, Cheng Qian, Joyce C. Ho, Haesun Park, Jimeng Sun"
" Temporally-smooth Antialiasing and Lens Distortion with Rasterization  Map
",https://arxiv.org/abs/2010.04077,Jakub Maximilian Fober
" 3D Object Detection and Pose Estimation of Unseen Objects in Color  Images with Local Surface Embeddings
",https://arxiv.org/abs/2010.04075,"Giorgia Pitteri, Aurélie Bugeau, Slobodan Ilic, Vincent Lepetit"
" A Mixed-Precision RISC-V Processor for Extreme-Edge DNN Inference
",https://arxiv.org/abs/2010.04073,"Gianmarco Ottavi, Angelo Garofalo, Giuseppe Tagliavini, Francesco Conti, Luca Benini, Davide Rossi"
" Are Adaptive Face Recognition Systems still Necessary? Experiments on  the APE Dataset
",https://arxiv.org/abs/2010.04072,"Giulia Orrù, Marco Micheletto, Julian Fierrez, Gian Luca Marcialis"
" Nonlinear Model Predictive Control of Permanent Magnet Synchronous  Generators in DC Microgrids
",https://arxiv.org/abs/2010.04069,"Luis Herrera, Chad Miller, Bang-Hung Tsao"
" MIA-Prognosis: A Deep Learning Framework to Predict Therapy Response
",https://arxiv.org/abs/2010.04062,"Jiancheng Yang, Jiajun Chen, Kaiming Kuang, Tiancheng Lin, Junjun He, Bingbing Ni"
" Adaptive Subcarrier, Parameter, and Power Allocation for Partitioned  Edge Learning Over Broadband Channels
",https://arxiv.org/abs/2010.04061,"Dingzhu Wen, Ki-Jun Jeon, Mehdi Bennis, Kaibin Huang"
" Low-Complexity ZF/MMSE Receivers for MIMO-OTFS Systems With Imperfect  CSI
",https://arxiv.org/abs/2010.04057,"Prem Singh, Abhishek Gupta, Himanshu B. Mishra, Rohit Budhiraja"
" A Unified Approach to Interpreting and Boosting Adversarial  Transferability
",https://arxiv.org/abs/2010.04055,"Xin Wang, Jie Ren, Shuyun Lin, Xiangming Zhu, Yisen Wang, Quanshi Zhang"
" Fairness in Machine Learning: A Survey
",https://arxiv.org/abs/2010.04053,"Simon Caton, Christian Haas"
" Ensemble Machine Learning Methods for Modeling COVID19 Deaths
",https://arxiv.org/abs/2010.04052,"R. Bathwal, P. Chitta, K. Tirumala, V. Varadarajan"
" A survey of algorithmic recourse: definitions, formulations, solutions,  and prospects
",https://arxiv.org/abs/2010.04050,"Amir-Hossein Karimi, Gilles Barthe, Bernhard Schölkopf, Isabel Valera"
" Precise Task Formalization Matters in Winograd Schema Evaluations
",https://arxiv.org/abs/2010.04043,"Haokun Liu, William Huang, Dhara A. Mungra, Samuel R. Bowman"
" Catch Me if I Can: Detecting Strategic Behaviour in Peer Assessment
",https://arxiv.org/abs/2010.04041,"Ivan Stelmakh, Nihar B. Shah, Aarti Singh"
" Texture-based Presentation Attack Detection for Automatic Speaker  Verification
",https://arxiv.org/abs/2010.04038,"Lazaro J. Gonzalez-Soler, Jose Patino, Marta Gomez-Barrero, Massimiliano Todisco, Christoph Busch, Nicholas Evans"
" Semi-Supervised Learning of Multi-Object 3D Scene Representations
",https://arxiv.org/abs/2010.04030,"Cathrin Elich, Martin R. Oswald, Marc Pollefeys, Jörg Stückler"
" RNNLogic: Learning Logic Rules for Reasoning on Knowledge Graphs
",https://arxiv.org/abs/2010.04029,"Meng Qu, Junkun Chen, Louis-Pascal Xhonneux, Yoshua Bengio, Jian Tang"
" Yield Optimization using Hybrid Gaussian Process Regression and a  Genetic Multi-Objective Approach
",https://arxiv.org/abs/2010.04028,"Mona Fuhrländer, Sebastian Schöps"
" From Asking to Answering: Getting More Involved on Stack Overflow
",https://arxiv.org/abs/2010.04025,"Timur Bachschi, Aniko Hannak, Florian Lemmerich, Johannes Wachs"
" DiffTune: Optimizing CPU Simulator Parameters with Learned  Differentiable Surrogates
",https://arxiv.org/abs/2010.04017,"Alex Renda, Yishen Chen, Charith Mendis, Michael Carbin"
" Learning Partially Observed Linear Dynamical Systems from Logarithmic  Number of Samples
",https://arxiv.org/abs/2010.04015,Salar Fattahi
" Invertible Manifold Learning for Dimension Reduction
",https://arxiv.org/abs/2010.04012,"Siyuan Li, Haitao Lin, Zelin Zang, Lirong Wu, Jun Xia, Stan Z. Li"
" Effects of Model Misspecification on Bayesian Bandits: Case Studies in  UX Optimization
",https://arxiv.org/abs/2010.04010,"Mack Sweeney, Matthew van Adelsberg, Kathryn Laskey, Carlotta Domeniconi"
" Single-Image Camera Response Function Using Prediction Consistency and  Gradual Refinement
",https://arxiv.org/abs/2010.04009,"Aashish Sharma, Robby T. Tan, Loong-Fah Cheong"
" Accelerating Simulation of Stiff Nonlinear Systems using Continuous-Time  Echo State Networks
",https://arxiv.org/abs/2010.04004,"Ranjan Anantharaman, Yingbo Ma, Shashi Gowda, Chris Laughman, Viral Shah, Alan Edelman, Chris Rackauckas"
